appid,name_x,playtime_forever,img_icon_url,has_community_visible_stats,content_descriptorids,has_leaderboards,playtime_2weeks,participant_id,playtime_hours,achievement_ratio,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name_y,type,genres,categories,release_date,developer,publisher,name,hltb_main_story,hltb_main_extra,hltb_completionist
1507190,Machinika Museum,0,f4bb2176803e4b08c0da1032ea59d9a995ccff5b,,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
289130,ENDLESS™ Legend,0,02277be6b9b09671b857948006316057974d7036,True,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENDLESS™ Legend,game,"['RPG', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","18 Sep, 2014",AMPLITUDE Studios,SEGA,ENDLESS™ Legend,,,
3027930,Karate Survivor,1138,ee9db65005dc88e4a69b266e584e27890b926f08,True,,,,User4,19.0,0.6363636363636364,1138.0,0.0,0.0,0.0,1733063724.0,0.0,,,[''],[''],,,,,,,
3064370,Dark Hours: Prologue,100,7d641ff40284775d41efaa5d059535d6b8de47d2,,"[2, 5]",,,User4,1.7,0.0,100.0,0.0,0.0,0.0,1749506181.0,0.0,Dark Hours: Prologue,game,"['Action', 'Adventure', 'Free To Play']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Partial Controller Support']","18 Jul, 2024",Piece of Cake studios,"Piece of Cake studios, Kepler Ghost",Dark Hours: Prologue,0.95,0.0,1.45
3119520,Waifu Closet,0,4944d01256c3b72c2364149dff708e339feb6dec,True,"[1, 4, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,[''],[''],,,,,,,
3218710,Everlusting Life,7992,3890cf47ee2a5b15c0999f299b2ec6d8548da7d6,True,"[1, 3, 4, 5]",,1064.0,User4,133.2,0.45161290322580644,7992.0,0.0,0.0,0.0,1751003320.0,0.0,,,[''],[''],,,,,,,
582660,Black Desert,0,bf5ccace0a692720984827bf042143d0d4b28a42,,"[1, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black Desert,game,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","24 May, 2017",Pearl Abyss,Pearl Abyss,Black Desert,93.23,287.31,2060.45
3445580,Ambidextro,46,0cf6f7662baaa6379cba030d282335745ae3501f,True,,,,User4,0.8,0.04,46.0,0.0,0.0,0.0,1744045774.0,0.0,,,[''],[''],,,,,,,
220700,RPG Maker VX Ace,0,a3dff4fdcaf4c339b980d6f4820f2bbc71b5e978,True,,,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPG Maker VX Ace,game,"['Adventure', 'RPG', 'Design & Illustration', 'Education', 'Web Publishing', 'Game Development']","['Steam Trading Cards', 'Steam Workshop']","10 Dec, 2012","Gotcha Gotcha Games, KADOKAWA, Yoji Ojima",Gotcha Gotcha Games,RPG Maker VX Ace,20.42,112.98,0.0
286690,Metro 2033 Redux,0,353ea01a045c084215bca95519808eaa7319ce0c,True,"[1, 2, 5]",,,User4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Metro 2033 Redux,game,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","Aug 25, 2014",4A Games,Deep Silver,Metro 2033 Redux,9.07,11.51,23.72
